Years_of_Experience,Education_Level,Job_Complexity,Company_Size,Buyer_Income (Euros),Job_Satisfaction
-0.5088259691611481,-1.2104908801716725,0.5251563787104221,1,-0.945692770704256,0
1.4446037238294056,0.015943648877640954,-0.8980316394750036,1,0.46910106667872775,1
1.4446037238294056,0.015943648877640954,0.5251563787104221,2,2.15653014886596,0
-0.08416734025015818,1.2423781779269545,-1.2538286440213602,2,0.06311850546936412,0
-0.5088259691611481,1.2423781779269545,-1.2538286440213602,2,0.08003999202718365,0
0.5952864660074257,0.015943648877640954,0.16935937416406566,0,0.12394332116446964,1
0.9350133691362177,1.2423781779269545,0.5251563787104221,2,1.8031389660318222,0
-0.5088259691611481,-1.2104908801716725,-0.5422346349286472,0,-1.4718711732837026,1
-0.763621146507742,-1.2104908801716725,-1.2538286440213602,1,-1.4401745976977816,0
0.8500816433540197,-1.2104908801716725,1.236750387803135,1,1.4849961404504282,0
-1.103348049636534,-1.2104908801716725,-0.18643763038229078,2,-0.9493752482552429,0
-1.27321150120093,0.015943648877640954,-0.18643763038229078,2,-0.35927324670249133,0
1.6144671753938016,0.015943648877640954,1.5925473923494915,2,1.4522616620560187,1
-0.08416734025015818,0.015943648877640954,-0.18643763038229078,2,0.2960419672237732,0
0.0007643855320398109,0.015943648877640954,-0.8980316394750036,0,-0.5642495718934813,1
-0.6786894207255441,-1.2104908801716725,1.236750387803135,1,-0.29402615021086176,0
1.1048768207006137,1.2423781779269545,-0.5422346349286472,0,0.938536883031355,0
-0.08416734025015818,-1.2104908801716725,-1.6096256485677165,2,-0.8886871791796778,1
0.3404912886608317,-1.2104908801716725,-0.8980316394750036,2,-0.41351244201229664,1
-0.08416734025015818,-1.2104908801716725,1.236750387803135,2,0.9178966145102808,0
0.17062783709643578,0.015943648877640954,1.236750387803135,1,1.1583282321039408,0
-1.358143226983128,0.015943648877640954,0.8809533832567785,0,-0.6158365281959762,0
-0.933484598072138,-1.2104908801716725,0.8809533832567785,0,-0.7209611978867991,0
-0.3389625175967521,1.2423781779269545,-0.8980316394750036,0,-0.7399879369737675,1
-0.5937576949433461,1.2423781779269545,-0.5422346349286472,1,-0.9966500471450912,1
-0.5088259691611481,0.015943648877640954,1.236750387803135,1,-0.017333685644556028,0
1.2747402722650096,-1.2104908801716725,-1.6096256485677165,1,0.45138007628630883,1
0.0856961113142378,0.015943648877640954,-0.5422346349286472,2,0.27327829396741715,1
0.4254230144430297,0.015943648877640954,0.16935937416406566,1,0.8809705900284249,0
